Year,Building,Grade,Enrollment
2015,High School,9,269
2015,High School,10,226
2015,High School,11,260
2015,High School,12,212
2015,Middle School,5,255
2015,Middle School,6,254
2015,Middle School,7,247
2015,Middle School,8,256
2015,Boothwyn,K ,67
2015,Boothwyn,1,76
2015,Boothwyn,2,79
2015,Boothwyn,3,78
2015,Boothwyn,4,64
2015,Hilltop,K ,70
2015,Hilltop,1,88
2015,Hilltop,2,79
2015,Hilltop,3,77
2015,Hilltop,4,72
2015,Marcus Hook,K ,51
2015,Marcus Hook,1,67
2015,Marcus Hook,2,69
2015,Marcus Hook,3,64
2015,Marcus Hook,4,51
2015,Linwood,K ,69
2015,Linwood,1,48
2015,Linwood,2,49
2015,Linwood,3,48
2015,Linwood,4,73
2016,High School,9,246
2016,High School,10,255
2016,High School,11,206
2016,High School,12,215
2016,Middle School,5,249
2016,Middle School,6,249
2016,Middle School,7,243
2016,Middle School,8,245
2016,Boothwyn,K ,62
2016,Boothwyn,1,71
2016,Boothwyn,2,75
2016,Boothwyn,3,76
2016,Boothwyn,4,75
2016,Hilltop,K ,67
2016,Hilltop,1,56
2016,Hilltop,2,77
2016,Hilltop,3,71
2016,Hilltop,4,75
2016,Marcus Hook,K ,54
2016,Marcus Hook,1,68
2016,Marcus Hook,2,69
2016,Marcus Hook,3,61
2016,Marcus Hook,4,71
2016,Linwood,K ,68
2016,Linwood,1,67
2016,Linwood,2,59
2016,Linwood,3,60
2016,Linwood,4,51
2017,High School,9,247
2017,High School,10,249
2017,High School,11,248
2017,High School,12,185
2017,Middle School,5,264
2017,Middle School,6,238
2017,Middle School,7,248
2017,Middle School,8,243
2017,Boothwyn,K ,59
2017,Boothwyn,1,56
2017,Boothwyn,2,71
2017,Boothwyn,3,74
2017,Boothwyn,4,71
2017,Hilltop,K ,61
2017,Hilltop,1,64
2017,Hilltop,2,53
2017,Hilltop,3,72
2017,Hilltop,4,66
2017,Marcus Hook,K ,56
2017,Marcus Hook,1,56
2017,Marcus Hook,2,66
2017,Marcus Hook,3,72
2017,Marcus Hook,4,65
2017,Linwood,K ,56
2017,Linwood,1,70
2017,Linwood,2,67
2017,Linwood,3,59
2017,Linwood,4,61
2018,High School,9,260
2018,High School,10,230
2018,High School,11,239
2018,High School,12,225
2018,Middle School,5,255
2018,Middle School,6,265
2018,Middle School,7,255
2018,Middle School,8,246
2018,Boothwyn,K ,65
2018,Boothwyn,1,56
2018,Boothwyn,2,65
2018,Boothwyn,3,69
2018,Boothwyn,4,75
2018,Hilltop,K ,71
2018,Hilltop,1,60
2018,Hilltop,2,62
2018,Hilltop,3,55
2018,Hilltop,4,69
2018,Marcus Hook,K ,55
2018,Marcus Hook,1,58
2018,Marcus Hook,2,53
2018,Marcus Hook,3,70
2018,Marcus Hook,4,68
2018,Linwood,K ,51
2018,Linwood,1,53
2018,Linwood,2,68
2018,Linwood,3,74
2018,Linwood,4,62